delta;0.01;assimptotic;   3.9696307470707084    ;RealEntropy3_1;     3.969996189489325    ;Minus ;     3.654424186168015E-4;OST;0.028622807345244097
delta;0.03;assimptotic;   3.97136711387979    ;RealEntropy3_1;     3.972352451310908    ;Minus ;     9.853374311181717E-4;OST;0.027447830889648504
delta;0.05;assimptotic;   3.9731034806888714    ;RealEntropy3_1;     3.974565960053996    ;Minus ;     0.0014624793651245582;OST;0.02630047538271153
delta;0.07;assimptotic;   3.974839847497953    ;RealEntropy3_1;     3.976642837453077    ;Minus ;     0.001802989955124179;OST;0.02518036156921504
delta;0.09000000000000001;assimptotic;   3.9765762143070345    ;RealEntropy3_1;     3.9785890303870075    ;Minus ;     0.0020128160799730566;OST;0.02408713551046539
delta;0.11000000000000001;assimptotic;   3.9783125811161164    ;RealEntropy3_1;     3.980410317052001    ;Minus ;     0.0020977359358846925;OST;0.023020467221134225
delta;0.13;assimptotic;   3.980048947925198    ;RealEntropy3_1;     3.982112312584352    ;Minus ;     0.002063364659154132;OST;0.021980049375672064
delta;0.15;assimptotic;   3.9817853147342794    ;RealEntropy3_1;     3.9837004741783453    ;Minus ;     0.0019151594440658393;OST;0.020965596079514134
delta;0.16999999999999998;assimptotic;   3.983521681543361    ;RealEntropy3_1;     3.985180105740312    ;Minus ;     0.0016584241969508362;OST;0.01997684170070374
delta;0.18999999999999997;assimptotic;   3.9852580483524425    ;RealEntropy3_1;     3.9865563621157656    ;Minus ;     0.0012983137633231223;OST;0.019013539757930215
delta;0.20999999999999996;assimptotic;   3.986994415161524    ;RealEntropy3_1;     3.9878342529231325    ;Minus ;     8.398377616085639E-4;OST;0.01807546186131996
delta;0.22999999999999995;assimptotic;   3.988730781970606    ;RealEntropy3_1;     3.989018646024479    ;Minus ;     2.878640538730437E-4;OST;0.01716239670263221
delta;0.24999999999999994;assimptotic;   3.9904671487796874    ;RealEntropy3_1;     3.9901142706609884    ;Minus ;     -3.52878118698996E-4;OST;0.01627414909179951
delta;0.26999999999999996;assimptotic;   3.992203515588769    ;RealEntropy3_1;     3.991125720278583    ;Minus ;     -0.001077795310186147;OST;0.01541053903701789
delta;0.29;assimptotic;   3.9939398823978505    ;RealEntropy3_1;     3.992057455066964    ;Minus ;     -0.0018824273308863937;OST;0.014571400865835705
delta;0.31;assimptotic;   3.995676249206932    ;RealEntropy3_1;     3.9929138042335297    ;Minus ;     -0.0027624449734022782;OST;0.013756582384915006
delta;0.33;assimptotic;   3.997412616016014    ;RealEntropy3_1;     3.9936989680319845    ;Minus ;     -0.0037136479840294;OST;0.01296594407634648
delta;0.35000000000000003;assimptotic;   3.9991489828250955    ;RealEntropy3_1;     3.9944170195639908    ;Minus ;     -0.004731963261104699;OST;0.012199358328590053
delta;0.37000000000000005;assimptotic;   4.000885349634177    ;RealEntropy3_1;     3.995071906370913    ;Minus ;     -0.005813443263264162;OST;0.011456708700289534
delta;0.39000000000000007;assimptotic;   4.002621716443259    ;RealEntropy3_1;     3.995667451831604    ;Minus ;     -0.006954264611654715;OST;0.010737889215372236
delta;0.4100000000000001;assimptotic;   4.00435808325234    ;RealEntropy3_1;     3.9962073563810745    ;Minus ;     -0.008150726871265501;OST;0.010042803687994492
